impd,date,year,gear,spp,tl,aged,age
GDCL,10/3/2017,2017,EF,Bluegill,102,1,0
HOCB,9/25/2018,2018,EF,Bluegill,51,1,0
HOCB,9/25/2018,2018,EF,Bluegill,53,1,0
HOCB,9/25/2018,2018,EF,Bluegill,53,1,0
HOCB,9/25/2018,2018,EF,Bluegill,56,1,0
HOCB,9/25/2018,2018,EF,Bluegill,60,1,0
HOCB,9/25/2018,2018,EF,Bluegill,62,1,0
HOCB,9/25/2018,2018,EF,Bluegill,62,1,0
HOCB,9/25/2018,2018,EF,Bluegill,62,1,0
HOCB,9/25/2018,2018,EF,Bluegill,67,1,0
HOCB,9/25/2018,2018,EF,Bluegill,71,1,0
JWSL,7/1/2017,2017,EF,Bluegill,57,1,0
JWSL,7/1/2017,2017,EF,Bluegill,59,1,0
JWSL,7/1/2017,2017,EF,Redear Sunfish,53,1,0
JWSL,7/1/2017,2017,EF,Redear Sunfish,65,1,0
LXLX,9/28/2017,2017,EF,Bluegill,51,1,0
MISL,9/28/2017,2017,EF,Bluegill,54,1,0
MISL,9/28/2017,2017,EF,Bluegill,57,1,0
MISL,9/28/2017,2017,EF,Bluegill,66,1,0
MISL,9/28/2017,2017,EF,Bluegill,66,1,0
MISL,9/28/2017,2017,EF,Bluegill,68,1,0
MISL,9/28/2017,2017,EF,Bluegill,70,1,0
MISL,9/28/2017,2017,EF,Bluegill,74,1,0
MISL,9/28/2017,2017,EF,Bluegill,74,1,0
MISL,9/28/2017,2017,EF,Bluegill,80,1,0
MISL,9/28/2017,2017,EF,Bluegill,83,1,0
MISL,9/28/2017,2017,EF,Redear Sunfish,69,1,0
MISL,9/28/2017,2017,EF,Redear Sunfish,87,1,0
POCL,9/24/2018,2018,EF,Bluegill,65,1,0
ZPCB,9/27/2018,2018,EF,Bluegill,50,1,0
ZPCB,9/27/2018,2018,EF,Bluegill,55,1,0
ZPCB,9/27/2018,2018,EF,Bluegill,67,1,0
ZPCB,9/27/2018,2018,EF,Bluegill,68,1,0
ZPCB,9/27/2018,2018,EF,Bluegill,70,1,0
ZPCB,9/27/2018,2018,EF,Bluegill,73,1,0
ZPCB,9/27/2018,2018,EF,Redear Sunfish,52,1,0
ZPCB,9/27/2018,2018,EF,Redear Sunfish,54,1,0
ZPCB,9/27/2018,2018,EF,Redear Sunfish,54,1,0
ZPCB,9/27/2018,2018,EF,Redear Sunfish,57,1,0
GDCL,10/3/2017,2017,EF,Bluegill,77,1,1
GDCL,10/3/2017,2017,EF,Bluegill,81,1,1
GDCL,10/3/2017,2017,EF,Bluegill,87,1,1
GDCL,10/3/2017,2017,EF,Bluegill,93,1,1
GDCL,10/3/2017,2017,EF,Bluegill,97,1,1
GDCL,10/3/2017,2017,EF,Bluegill,97,1,1
GDCL,10/3/2017,2017,EF,Bluegill,98,1,1
GDCL,10/3/2017,2017,EF,Bluegill,105,1,1
GDCL,10/3/2017,2017,EF,Bluegill,106,1,1
GDCL,10/3/2017,2017,EF,Bluegill,107,1,1
GDCL,10/3/2017,2017,EF,Bluegill,110,1,1
GDCL,10/3/2017,2017,EF,Bluegill,118,1,1
GDCL,10/3/2017,2017,EF,Bluegill,118,1,1
GDCL,10/3/2017,2017,EF,Bluegill,119,1,1
GDCL,10/3/2017,2017,EF,Bluegill,122,1,1
GDCL,10/3/2017,2017,EF,Bluegill,123,1,1
GDCL,10/3/2017,2017,EF,Bluegill,126,1,1
GDCL,10/3/2017,2017,EF,Bluegill,132,1,1
GDCL,10/3/2017,2017,EF,Bluegill,139,1,1
GDCL,10/3/2017,2017,EF,Bluegill,142,1,1
GDCL,10/3/2017,2017,EF,Bluegill,145,1,1
HOCB,9/25/2018,2018,EF,Bluegill,74,1,1
HOCB,9/25/2018,2018,EF,Bluegill,75,1,1
HOCB,9/25/2018,2018,EF,Bluegill,78,1,1
HOCB,9/25/2018,2018,EF,Bluegill,82,1,1
HOCB,9/25/2018,2018,EF,Bluegill,83,1,1
HOCB,9/25/2018,2018,EF,Bluegill,84,1,1
HOCB,9/25/2018,2018,EF,Bluegill,84,1,1
HOCB,9/25/2018,2018,EF,Bluegill,87,1,1
HOCB,9/25/2018,2018,EF,Bluegill,87,1,1
HOCB,9/25/2018,2018,EF,Bluegill,90,1,1
HOCB,9/25/2018,2018,EF,Bluegill,92,1,1
HOCB,9/25/2018,2018,EF,Bluegill,92,1,1
HOCB,9/25/2018,2018,EF,Bluegill,95,1,1
HOCB,9/25/2018,2018,EF,Bluegill,101,1,1
HOCB,9/25/2018,2018,EF,Bluegill,102,1,1
JWSL,7/1/2017,2017,EF,Bluegill,65,1,1
JWSL,7/1/2017,2017,EF,Bluegill,66,1,1
JWSL,7/1/2017,2017,EF,Bluegill,67,1,1
JWSL,7/1/2017,2017,EF,Bluegill,68,1,1
JWSL,7/1/2017,2017,EF,Bluegill,68,1,1
JWSL,7/1/2017,2017,EF,Bluegill,71,1,1
JWSL,7/1/2017,2017,EF,Bluegill,73,1,1
JWSL,7/1/2017,2017,EF,Bluegill,73,1,1
JWSL,7/1/2017,2017,EF,Bluegill,75,1,1
JWSL,7/1/2017,2017,EF,Bluegill,76,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,77,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,85,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,86,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,86,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,88,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,89,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,90,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,94,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,96,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,98,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,98,1,1
JWSL,7/1/2017,2017,EF,Redear Sunfish,102,1,1
LXLX,9/28/2017,2017,EF,Bluegill,51,1,1
LXLX,9/28/2017,2017,EF,Bluegill,60,1,1
LXLX,9/28/2017,2017,EF,Bluegill,63,1,1
LXLX,9/28/2017,2017,EF,Bluegill,70,1,1
LXLX,9/28/2017,2017,EF,Bluegill,71,1,1
LXLX,9/28/2017,2017,EF,Bluegill,75,1,1
LXLX,9/28/2017,2017,EF,Bluegill,80,1,1
LXLX,9/28/2017,2017,EF,Bluegill,83,1,1
LXLX,9/28/2017,2017,EF,Bluegill,85,1,1
LXLX,9/28/2017,2017,EF,Bluegill,95,1,1
LXLX,9/28/2017,2017,EF,Bluegill,102,1,1
LXLX,9/28/2017,2017,EF,Bluegill,103,1,1
LXLX,9/28/2017,2017,EF,Bluegill,103,1,1
LXLX,9/28/2017,2017,EF,Bluegill,117,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,133,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,134,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,135,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,142,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,142,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,144,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,146,1,1
LXLX,9/28/2017,2017,EF,Redear Sunfish,148,1,1
MISL,9/28/2017,2017,EF,Bluegill,57,1,1
MISL,9/28/2017,2017,EF,Bluegill,84,1,1
MISL,9/28/2017,2017,EF,Bluegill,88,1,1
MISL,9/28/2017,2017,EF,Bluegill,94,1,1
MISL,9/28/2017,2017,EF,Bluegill,95,1,1
MISL,9/28/2017,2017,EF,Bluegill,98,1,1
MISL,9/28/2017,2017,EF,Bluegill,99,1,1
MISL,9/28/2017,2017,EF,Bluegill,102,1,1
MISL,9/28/2017,2017,EF,Bluegill,103,1,1
MISL,9/28/2017,2017,EF,Bluegill,107,1,1
MISL,9/28/2017,2017,EF,Bluegill,107,1,1
MISL,9/28/2017,2017,EF,Bluegill,107,1,1
MISL,9/28/2017,2017,EF,Bluegill,116,1,1
MISL,9/28/2017,2017,EF,Bluegill,117,1,1
MISL,9/28/2017,2017,EF,Bluegill,119,1,1
MISL,9/28/2017,2017,EF,Bluegill,120,1,1
MISL,9/28/2017,2017,EF,Bluegill,125,1,1
MISL,9/28/2017,2017,EF,Bluegill,125,1,1
MISL,9/28/2017,2017,EF,Bluegill,132,1,1
MISL,9/28/2017,2017,EF,Bluegill,136,1,1
MISL,9/28/2017,2017,EF,Redear Sunfish,121,1,1
MISL,9/28/2017,2017,EF,Redear Sunfish,134,1,1
MISL,9/28/2017,2017,EF,Redear Sunfish,152,1,1
MISL,9/28/2017,2017,EF,Redear Sunfish,152,1,1
MISL,9/28/2017,2017,EF,Redear Sunfish,155,1,1
POCL,9/24/2018,2018,EF,Bluegill,70,1,1
POCL,9/24/2018,2018,EF,Bluegill,77,1,1
POCL,9/24/2018,2018,EF,Bluegill,79,1,1
POCL,9/24/2018,2018,EF,Bluegill,79,1,1
POCL,9/24/2018,2018,EF,Bluegill,79,1,1
POCL,9/24/2018,2018,EF,Bluegill,80,1,1
POCL,9/24/2018,2018,EF,Bluegill,82,1,1
POCL,9/24/2018,2018,EF,Bluegill,84,1,1
POCL,9/24/2018,2018,EF,Bluegill,88,1,1
POCL,9/24/2018,2018,EF,Bluegill,89,1,1
POCL,9/24/2018,2018,EF,Bluegill,92,1,1
POCL,9/24/2018,2018,EF,Bluegill,92,1,1
POCL,9/24/2018,2018,EF,Bluegill,93,1,1
POCL,9/24/2018,2018,EF,Bluegill,94,1,1
POCL,9/24/2018,2018,EF,Bluegill,94,1,1
POCL,9/24/2018,2018,EF,Bluegill,96,1,1
POCL,9/24/2018,2018,EF,Bluegill,100,1,1
POCL,9/24/2018,2018,EF,Bluegill,152,1,1
POCL,9/24/2018,2018,EF,Redear Sunfish,142,1,1
POCL,9/24/2018,2018,EF,Redear Sunfish,145,1,1
PTSB,9/10/2018,2018,EF,Bluegill,55,1,1
PTSB,9/10/2018,2018,EF,Bluegill,56,1,1
PTSB,9/10/2018,2018,EF,Bluegill,56,1,1
PTSB,9/10/2018,2018,EF,Bluegill,56,1,1
PTSB,9/10/2018,2018,EF,Bluegill,57,1,1
PTSB,9/10/2018,2018,EF,Bluegill,59,1,1
PTSB,9/10/2018,2018,EF,Bluegill,60,1,1
PTSB,9/10/2018,2018,EF,Bluegill,61,1,1
PTSB,9/10/2018,2018,EF,Bluegill,62,1,1
PTSB,9/10/2018,2018,EF,Bluegill,64,1,1
PTSB,9/10/2018,2018,EF,Bluegill,65,1,1
PTSB,9/10/2018,2018,EF,Bluegill,69,1,1
PTSB,9/10/2018,2018,EF,Bluegill,75,1,1
PTSB,9/10/2018,2018,EF,Bluegill,76,1,1
PTSB,9/10/2018,2018,EF,Redear Sunfish,84,1,1
PTSB,9/10/2018,2018,EF,Redear Sunfish,100,1,1
