uid,impd,gear,date,year,spp,tl,w,count
6011,PTSB,EF,9/10/2018,2018,Redear Sunfish,160,,1
6011,PTSB,EF,9/10/2018,2018,Redear Sunfish,150,,1
6012,PTSB,EF,9/10/2018,2018,Redear Sunfish,120,,1
6013,PTSB,EF,9/10/2018,2018,Redear Sunfish,100,,1
6014,PTSB,EF,9/10/2018,2018,Redear Sunfish,130,,1
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,200,,1
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,190,,2
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,180,,5
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,170,,2
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,160,,13
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,150,,5
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,140,,6
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,130,,9
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,120,,16
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,110,,7
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,100,,3
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,90,,4
6007,JWSL,EF,9/19/2018,2018,Redear Sunfish,60,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,180,,4
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,170,,2
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,160,,3
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,150,,2
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,140,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,130,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,120,,5
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,110,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,90,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,80,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,70,,1
6008,JWSL,EF,9/19/2018,2018,Redear Sunfish,50,,1
6009,JWSL,EF,9/19/2018,2018,Redear Sunfish,220,,2
6009,JWSL,EF,9/19/2018,2018,Redear Sunfish,140,,2
6009,JWSL,EF,9/19/2018,2018,Redear Sunfish,120,,3
6009,JWSL,EF,9/19/2018,2018,Redear Sunfish,100,,1
6009,JWSL,EF,9/19/2018,2018,Redear Sunfish,80,,1
6009,JWSL,EF,9/19/2018,2018,Redear Sunfish,60,,1
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,210,,1
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,170,,1
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,160,,1
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,150,,4
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,140,,3
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,130,,4
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,120,,1
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,110,,4
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,90,,7
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,80,,3
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,70,,2
6010,JWSL,EF,9/19/2018,2018,Redear Sunfish,50,,1
6015,POCL,EF,9/24/2018,2018,Redear Sunfish,217,,1
6015,POCL,EF,9/24/2018,2018,Redear Sunfish,197,,1
6015,POCL,EF,9/24/2018,2018,Redear Sunfish,145,,1
6015,POCL,EF,9/24/2018,2018,Redear Sunfish,142,,1
6015,POCL,EF,9/24/2018,2018,Redear Sunfish,140,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,228,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,224,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,215,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,210,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,204,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,167,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,163,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,163,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,157,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,155,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,152,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,145,,1
6017,POCL,EF,9/24/2018,2018,Redear Sunfish,143,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,227,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,198,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,195,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,168,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,136,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,135,,1
6018,POCL,EF,9/24/2018,2018,Redear Sunfish,131,,1
6020,POCL,EF,9/24/2018,2018,Redear Sunfish,206,,1
6020,POCL,EF,9/24/2018,2018,Redear Sunfish,143,,1
6020,POCL,EF,9/24/2018,2018,Redear Sunfish,135,,1
