uid,impd,gear,date,year,effort
6000,ZPCB,EF,9/27/2018,2018,0.166666667
6001,ZPCB,EF,9/27/2018,2018,0.166666667
6002,ZPCB,EF,9/27/2018,2018,0.166666667
6003,ZPCB,EF,9/27/2018,2018,0.166666667
6004,HOCB,EF,9/25/2018,2018,0.166666667
6005,HOCB,EF,9/25/2018,2018,0.166666667
6006,HOCB,EF,9/25/2018,2018,0.166666667
6007,JWSL,EF,9/19/2018,2018,0.166666667
6008,JWSL,EF,9/19/2018,2018,0.166666667
6009,JWSL,EF,9/19/2018,2018,0.166666667
6010,JWSL,EF,9/19/2018,2018,0.166666667
6011,PTSB,EF,9/10/2018,2018,0.166666667
6012,PTSB,EF,9/10/2018,2018,0.166666667
6013,PTSB,EF,9/10/2018,2018,0.166666667
6014,PTSB,EF,9/10/2018,2018,0.166666667
6015,POCL,EF,9/24/2018,2018,0.166666667
6016,POCL,EF,9/24/2018,2018,0.166666667
6017,POCL,EF,9/24/2018,2018,0.166666667
6018,POCL,EF,9/24/2018,2018,0.166666667
6019,POCL,EF,9/24/2018,2018,0.166666667
6020,POCL,EF,9/24/2018,2018,0.166666667
6021,MISL,EF,9/28/2017,2017,0.166666667
6022,MISL,EF,9/28/2017,2017,0.166666667
6023,MISL,EF,9/28/2017,2017,0.166666667
6024,LXLX,EF,9/28/2017,2017,0.166666667
6025,LXLX,EF,9/28/2017,2017,0.166666667
6026,LXLX,EF,9/28/2017,2017,0.166666667
6027,LXLX,EF,9/28/2017,2017,0.166666667
6028,GDCL,EF,10/3/2017,2017,0.166666667
6029,GDCL,EF,10/3/2017,2017,0.166666667
6030,GDCL,EF,10/3/2017,2017,0.166666667
6031,GDCL,EF,10/3/2017,2017,0.166666667
82156,PTSB,EF,9/9/2019,2019,0.166666667
82155,PTSB,EF,9/9/2019,2019,0.166666667
82154,PTSB,EF,9/9/2019,2019,0.166666667
82153,PTSB,EF,9/9/2019,2019,0.166666667
82152,PTSB,EF,9/9/2019,2019,0.166666667
82151,PTSB,EF,9/9/2019,2019,0.166666667
81703,ZPCB,EF,9/23/2019,2019,0.166666667
81702,ZPCB,EF,9/23/2019,2019,0.166666667
81701,ZPCB,EF,9/23/2019,2019,0.166666667
81700,ZPCB,EF,9/23/2019,2019,0.166666667
81652,POCL,EF,9/23/2019,2019,0.166666667
81651,POCL,EF,9/23/2019,2019,0.166666667
81650,POCL,EF,9/23/2019,2019,0.166666667
81649,POCL,EF,9/23/2019,2019,0.166666667
81648,POCL,EF,9/23/2019,2019,0.166666667
81647,POCL,EF,9/23/2019,2019,0.166666667
81646,MISL,EF,9/19/2019,2019,0.166666667
81645,MISL,EF,9/19/2019,2019,0.166666667
81644,MISL,EF,9/19/2019,2019,0.166666667
81643,MISL,EF,9/19/2019,2019,0.166666667
81642,MISL,EF,9/19/2019,2019,0.166666667
81641,MISL,EF,9/19/2019,2019,0.166666667
81640,GDCL,EF,9/17/2019,2019,0.166666667
81639,GDCL,EF,9/17/2019,2019,0.166666667
81638,GDCL,EF,9/17/2019,2019,0.166666667
81637,GDCL,EF,9/17/2019,2019,0.166666667
81636,GDCL,EF,9/17/2019,2019,0.166666667
81635,GDCL,EF,9/17/2019,2019,0.166666667
81634,LXLX,EF,9/16/2019,2019,0.166666667
81633,LXLX,EF,9/16/2019,2019,0.166666667
81632,LXLX,EF,9/16/2019,2019,0.166666667
81631,LXLX,EF,9/16/2019,2019,0.166666667
81630,LXLX,EF,9/16/2019,2019,0.166666667
81629,LXLX,EF,9/16/2019,2019,0.166666667
81613,JWSL,EF,9/18/2019,2019,0.166666667
81612,JWSL,EF,9/18/2019,2019,0.166666667
81611,JWSL,EF,9/18/2019,2019,0.166666667
81610,JWSL,EF,9/18/2019,2019,0.166666667
81609,JWSL,EF,9/18/2019,2019,0.166666667
81608,JWSL,EF,9/18/2019,2019,0.166666667
85142,POCL,EF,9/25/2020,2020,0.166666667
85141,POCL,EF,9/25/2020,2020,0.166666667
85140,POCL,EF,9/25/2020,2020,0.166666667
85139,POCL,EF,9/25/2020,2020,0.166666667
85128,POCL,EF,9/25/2020,2020,0.166666667
85127,MISL,EF,9/24/2020,2020,0.166666667
85126,MISL,EF,9/24/2020,2020,0.166666667
85125,MISL,EF,9/24/2020,2020,0.166666667
85124,MISL,EF,9/24/2020,2020,0.166666667
85123,MISL,EF,9/24/2020,2020,0.166666667
85122,LXLX,EF,9/18/2020,2020,0.166666667
85121,LXLX,EF,9/18/2020,2020,0.166666667
85120,LXLX,EF,9/18/2020,2020,0.166666667
85119,LXLX,EF,9/18/2020,2020,0.166666667
85118,LXLX,EF,9/18/2020,2020,0.166666667
85117,LXLX,EF,9/18/2020,2020,0.166666667
85116,GDCL,EF,9/17/2020,2020,0.166666667
85115,GDCL,EF,9/17/2020,2020,0.166666667
85114,GDCL,EF,9/17/2020,2020,0.166666667
85113,GDCL,EF,9/17/2020,2020,0.166666667
85112,GDCL,EF,9/17/2020,2020,0.166666667
85111,GDCL,EF,9/17/2020,2020,0.166666667
85089,ZPCB,EF,9/24/2020,2020,0.166666667
85088,ZPCB,EF,9/24/2020,2020,0.166666667
85087,ZPCB,EF,9/24/2020,2020,0.166666667
85086,ZPCB,EF,9/24/2020,2020,0.166666667
85083,PTSB,EF,9/14/2020,2020,0.166666667
85082,PTSB,EF,9/14/2020,2020,0.166666667
85081,PTSB,EF,9/14/2020,2020,0.166666667
85080,PTSB,EF,9/14/2020,2020,0.166666667
85079,PTSB,EF,9/14/2020,2020,0.166666667
85078,PTSB,EF,9/14/2020,2020,0.166666667
